factor,ic,ic_abs,p_value,n_obs
auto_volume_ma_10_1_processed,0.01949765005835943,0.01949765005835943,0.002810648095215846,23479
auto_price_ema_ratio_30_1_processed,-0.01833680902795148,0.01833680902795148,0.004957075915164173,23479
auto_price_ema_ratio_30_processed,-0.01833680902795148,0.01833680902795148,0.004957075915164173,23479
auto_down_days_processed,-0.018251770873176396,0.018251770873176396,0.005161512644208748,23479
auto_down_days_1_processed,-0.018251770873176396,0.018251770873176396,0.005161512644208748,23479
auto_quantile_ratio_0.75_20_processed,0.018140480884606257,0.018140480884606257,0.005440562275372402,23479
auto_quantile_ratio_0.75_20_1_processed,0.018140480884606257,0.018140480884606257,0.005440562275372402,23479
auto_volume_std_5_1_processed,0.01799994823796641,0.01799994823796641,0.005812360754650853,23479
auto_volume_std_5_processed,0.01799994823796641,0.01799994823796641,0.005812360754650853,23479
auto_volume_ma_5_1_processed,0.017805260622759816,0.017805260622759816,0.006365281519821816,23479
auto_volume_ma_5_processed,0.017805260622759816,0.017805260622759816,0.006365281519821816,23479
auto_amount_ma_20_processed,-0.017496802127892338,0.017496802127892338,0.007338655979516794,23479
auto_amount_ma_20_1_processed,-0.017496802127892338,0.017496802127892338,0.007338655979516794,23479
auto_price_ma_ratio_30_processed,0.017422125244114028,0.017422125244114028,0.00759352993831924,23479
auto_price_ma_ratio_30_1_processed,0.017422125244114028,0.017422125244114028,0.00759352993831924,23479
vr_10_processed,0.01712405384974377,0.01712405384974377,0.008691724300030504,23479
auto_up_down_ratio_processed,0.017071163092421692,0.017071163092421692,0.00890078546312802,23479
auto_up_down_ratio_1_processed,0.017071163092421692,0.017071163092421692,0.00890078546312802,23479
auto_quantile_ratio_0.9_5_1_processed,-0.01700061471998725,0.01700061471998725,0.009186628767505128,23479
auto_quantile_ratio_0.9_5_processed,-0.01700061471998725,0.01700061471998725,0.009186628767505128,23479
auto_std_10_processed,-0.016854260560376463,0.016854260560376463,0.009805880766414955,23479
auto_std_10_1_processed,-0.016854260560376463,0.016854260560376463,0.009805880766414955,23479
auto_quantile_ratio_0.1_60_1_processed,-0.016708854506004848,0.016708854506004848,0.010457685059049584,23479
auto_quantile_ratio_0.1_60_processed,-0.016708854506004848,0.016708854506004848,0.010457685059049584,23479
lower_shadow_processed,-0.016698535847031605,0.016698535847031605,0.010505372282503457,23479
