factor,ic,ic_abs,ir,monotonicity,ic_win_rate,coverage,n_obs,ic_score,ir_score,mono_score,win_rate_score,coverage_score,composite_score
auto_quantile_0.9_20_1_processed,-0.028239061152992993,0.028239061152992993,0.18956021373324736,-0.8999999999999998,0.6374999920312501,1.0,23479,0.11714243856841415,0.885042576905054,0.8999991000008999,0.6374999920312501,1.0,0.6761710726732346
auto_volume_ma_ratio_60_1_processed,0.036114260033667335,0.036114260033667335,-0.22111937110166455,0.9999999999999999,0.6749999915625001,1.0,23479,0.24096526471738242,0.6555094246792778,0.999999000001,0.6749999915625001,1.0,0.6753684710837401
auto_volume_ma_ratio_60_processed,0.036114260033667335,0.036114260033667335,-0.22111937110166455,0.9999999999999999,0.6749999915625001,1.0,23479,0.24096526471738242,0.6555094246792778,0.999999000001,0.6749999915625001,1.0,0.6753684710837401
auto_ma_10_1_processed,-0.03335534483446623,0.03335534483446623,-0.0027205249621771754,-0.8999999999999998,0.6749999915625001,1.0,23479,0.1975864647344704,0.7775748436774498,0.8999991000008999,0.6749999915625001,1.0,0.6750401458375351
auto_ma_10_processed,-0.03335534483446623,0.03335534483446623,-0.0027205249621771754,-0.8999999999999998,0.6749999915625001,1.0,23479,0.1975864647344704,0.7775748436774498,0.8999991000008999,0.6749999915625001,1.0,0.6750401458375351
auto_quantile_0.25_30_processed,-0.03491503533463198,0.03491503533463198,0.22561207893036206,-0.7,0.6749999915625001,1.0,23479,0.2221096912046169,0.9051923446750759,0.6999993000007,0.6749999915625001,1.0,0.6730753677044382
auto_quantile_0.25_30_1_processed,-0.03491503533463198,0.03491503533463198,0.22561207893036206,-0.7,0.6749999915625001,1.0,23479,0.2221096912046169,0.9051923446750759,0.6999993000007,0.6749999915625001,1.0,0.6730753677044382
auto_close_log_return_60_1_processed,-0.050350612294363155,0.050350612294363155,-0.49684740496189483,-0.8999999999999998,0.6749999915625001,1.0,23479,0.46480537309832337,0.501402117898018,0.8999991000008999,0.6749999915625001,1.0,0.6728016914836404
auto_close_log_return_60_processed,-0.050350612294363155,0.050350612294363155,-0.49684740496189483,-0.8999999999999998,0.6749999915625001,1.0,23479,0.46480537309832337,0.501402117898018,0.8999991000008999,0.6749999915625001,1.0,0.6728016914836404
auto_quantile_0.75_10_processed,-0.031765829168821355,0.031765829168821355,0.02205162386867396,-0.8999999999999998,0.6749999915625001,1.0,23479,0.17259429311945293,0.7914202589805674,0.8999991000008999,0.6749999915625001,1.0,0.6722534567595602
