date,nav
2022-09-13,126586478.22849444
2022-09-14,124764675.77034947
2022-09-15,125164737.01578218
2022-09-16,116963920.1811231
2022-09-19,113048176.90149152
2022-09-20,119639785.3448815
2022-09-21,126491724.26578377
2022-09-22,123965395.49726433
2022-09-23,114932965.80459191
2022-09-26,112458746.87930097
2022-09-27,115780293.0691164
2022-09-28,109254072.55921632
2022-09-29,111416659.58040753
2022-09-30,102715318.75626373
2022-10-10,101909662.25886227
2022-10-11,102256940.52754052
2022-10-12,102739877.23681208
2022-10-13,99256038.70382063
2022-10-14,103141810.97532974
2022-10-17,106874142.60269034
2022-10-18,105069598.54062547
2022-10-19,101147909.37603064
2022-10-20,99665415.63767186
2022-10-21,99963872.81025857
2022-10-24,95561305.94623241
2022-10-25,96106902.4229538
2022-10-26,99249372.91782223
2022-10-27,98204304.72723915
2022-10-28,93204062.32913455
2022-10-31,97219743.71975262
2022-11-01,101203184.45808217
2022-11-02,100924599.55807325
2022-11-03,101591700.13293298
2022-11-04,109094307.77541327
2022-11-07,107062078.33957662
2022-11-08,107831381.26284932
2022-11-09,106015094.55083767
2022-11-10,106258908.27875093
2022-11-11,107671936.39524665
2022-11-14,109168450.79091164
2022-11-15,109848578.58060423
2022-11-16,107758151.82540174
2022-11-17,111518979.54249196
2022-11-18,111005622.64825186
2022-11-21,109124186.2323957
2022-11-22,111510119.01076137
2022-11-23,109559780.04742023
2022-11-24,107750766.03161989
2022-11-25,103473965.37743083
2022-11-28,101539118.87632525
2022-11-29,105397025.04459903
2022-11-30,105271864.82620011
2022-12-01,103693871.50784941
2022-12-02,103811497.34959808
2022-12-05,108111306.74195896
2022-12-06,105472318.33395517
2022-12-07,104698292.87783507
2022-12-08,104862545.33901317
2022-12-09,104355046.88377309
2022-12-12,102976540.25266732
2022-12-13,102441073.90391506
2022-12-14,101021956.18505442
2022-12-15,101616643.36042958
2022-12-16,98616244.05288516
2022-12-19,71980957.23347384
2022-12-20,69890136.53169587
2022-12-21,67096995.560636535
2022-12-22,64903826.88877812
2022-12-23,64903826.88877812
2022-12-26,64858394.267775506
2022-12-27,63764228.43148621
2022-12-28,66378562.580113746
2022-12-29,66185258.42302448
2022-12-30,74158949.03899989
2023-01-03,98925918.32363029
2023-01-04,97841070.73731175
2023-01-05,97584905.27932143
2023-01-06,92169551.79033425
2023-01-09,90711584.74091563
2023-01-10,90165387.39026631
2023-01-11,89843313.0007575
2023-01-12,90359045.21741599
2023-01-13,89561319.93658707
2023-01-16,90218224.80820474
2023-01-17,89743425.44706638
2023-01-18,90375251.91118744
2023-01-19,91592201.51369108
2023-01-20,94024995.19689858
2023-01-30,96499912.47034365
2023-01-31,97531342.46808293
2023-02-01,98543350.25428379
2023-02-02,97535780.21605398
2023-02-03,96479841.44772753
2023-02-06,95610022.70283785
2023-02-07,98554721.09683795
2023-02-08,98594236.33891174
2023-02-09,103026182.63284993
2023-02-10,102108572.44344217
2023-02-13,105650453.68352744
2023-02-14,104405596.45099597
2023-02-15,104061645.71412508
2023-02-16,97495850.34183791
2023-02-17,97050963.1710275
2023-02-20,96043455.58954808
2023-02-21,92957300.99341077
2023-02-22,96243376.16167505
2023-02-23,96682948.4090028
2023-02-24,97245608.2688422
2023-02-27,95002846.83213232
2023-02-28,95384457.59731668
2023-03-01,94480547.89208028
2023-03-02,94897579.36404441
2023-03-03,95528931.67966321
2023-03-06,96609590.65541063
2023-03-07,94793258.16241147
2023-03-08,95010187.05930427
2023-03-09,95608840.57025553
2023-03-10,92186704.01545602
2023-03-13,88918558.8213067
2023-03-14,86480969.59112975
2023-03-15,84885881.11639746
2023-03-16,86597156.77887571
2023-03-17,100443581.6239386
2023-03-20,100319823.36499971
2023-03-21,99811234.80698884
2023-03-22,105610982.24538374
2023-03-23,101561229.37985349
2023-03-24,104345349.18320177
2023-03-27,110254821.6402969
2023-03-28,104444568.87140392
2023-03-29,103016204.00976634
2023-03-30,100417426.33862436
2023-03-31,99599157.7521133
2023-04-03,100286260.42702484
2023-04-04,102283187.84833935
2023-04-06,99630928.0345978
2023-04-07,100859061.06399328
2023-04-10,99607643.60150236
2023-04-11,98358606.89305016
2023-04-12,98939332.01421624
2023-04-13,98433923.39378554
2023-04-14,98835265.71963546
2023-04-17,99955536.08116308
2023-04-18,97526125.49201725
2023-04-19,96566396.97782567
2023-04-20,87260745.35127465
2023-04-21,85073660.9535632
2023-04-24,84634174.11518571
2023-04-25,85163883.86207862
2023-04-26,87045091.300084
2023-04-27,88501714.71963638
2023-04-28,88972915.20800804
2023-05-04,91139099.75894532
2023-05-05,88396603.88641937
2023-05-08,89300592.29535443
2023-05-09,100224055.77794597
2023-05-10,97946293.24476841
2023-05-11,99092412.92275833
2023-05-12,97099629.33901125
2023-05-15,97530365.74647768
2023-05-16,95993336.82743871
2023-05-17,95605119.90376252
2023-05-18,96794648.8748407
2023-05-19,97347659.88388109
2023-05-22,98740389.46174365
2023-05-23,97314042.21736498
2023-05-24,98118573.61352733
2023-05-25,98916023.0506647
2023-05-26,103959793.08333689
2023-05-29,101073157.64451937
2023-05-30,102024913.14227311
2023-05-31,101603142.79084623
2023-06-01,98395816.27760817
2023-06-02,97320769.02049741
2023-06-05,100006833.23836601
2023-06-06,97159810.53263006
2023-06-07,98766968.1207537
2023-06-08,98702125.82950038
2023-06-09,97934433.1372824
2023-06-12,98677260.86657277
2023-06-13,99823079.26073568
2023-06-14,100572804.76322044
2023-06-15,99408891.52482915
2023-06-16,100381042.63433775
2023-06-19,100638373.71581623
2023-06-20,98247764.18917954
2023-06-21,97337836.5797069
2023-06-26,95841342.97871108
2023-06-27,96695626.185864
2023-06-28,101053053.06001087
2023-06-29,102671228.13285428
2023-06-30,101344656.72069144
2023-07-03,102139583.99540971
2023-07-04,106872548.3441465
2023-07-05,109245659.53661841
2023-07-06,107836328.71712597
2023-07-07,108010418.49038287
2023-07-10,106225624.07727812
2023-07-11,105228047.00095162
2023-07-12,103765985.3614048
2023-07-13,103300462.1037547
2023-07-14,101470417.69448376
2023-07-17,101861543.00055197
2023-07-18,103297668.71240373
2023-07-19,104626946.30575371
2023-07-20,104139737.4309355
2023-07-21,103075409.24910232
2023-07-24,101892771.2687329
2023-07-25,105027583.34933016
2023-07-26,106674123.9198344
2023-07-27,106796167.0656196
2023-07-28,107995315.04001679
2023-07-31,110019105.92502573
2023-08-01,109615289.44550507
2023-08-02,108164109.4207733
2023-08-03,108393603.65721615
2023-08-04,110481986.30135241
2023-08-07,110809035.58799024
2023-08-08,107606639.20553903
2023-08-09,104928502.25603136
2023-08-10,103490479.92052984
2023-08-11,97055157.13346279
2023-08-14,97681466.78594874
2023-08-15,96731371.67274857
2023-08-16,95288856.19439575
2023-08-17,96681980.52252984
2023-08-18,94434108.3691427
2023-08-21,95725238.68151534
2023-08-22,94449603.47845753
2023-08-23,96469205.45857278
2023-08-24,97145109.75118625
2023-08-25,92386098.0806375
2023-08-28,93975353.19352774
2023-08-29,98298206.41566777
2023-08-30,96859223.9112617
2023-08-31,97253208.94002897
2023-09-01,95961103.26727244
2023-09-04,99946047.67593436
2023-09-05,97303955.31813398
2023-09-06,100278436.30262911
2023-09-07,96272118.22396779
2023-09-08,96265531.5131733
2023-09-11,96949030.09722768
2023-09-12,94183443.89966866
2023-09-13,92161403.47290182
2023-09-14,91606244.15499291
2023-09-15,96480650.6635156
2023-09-18,96696456.90709916
2023-09-19,97804861.66643369
2023-09-20,95309746.57882044
2023-09-21,95210661.63929692
2023-09-22,93182617.86564848
2023-09-25,94228658.09698614
2023-09-26,92859389.78179967
2023-09-27,92723689.00259963
2023-09-28,94513278.38466814
2023-10-09,92907483.77793181
2023-10-10,92710234.27177723
2023-10-11,92557108.6005058
2023-10-12,98149362.43998913
2023-10-13,96438544.37795734
2023-10-16,93673317.11275682
2023-10-17,93225676.71304265
2023-10-18,90501932.36797467
2023-10-19,88790907.95748843
2023-10-20,88628415.63000253
2023-10-23,85265077.17343767
2023-10-24,85267262.10221261
2023-10-25,85222481.02512453
2023-10-26,85068015.2473164
2023-10-27,88621043.53856368
2023-10-30,88222525.46586673
2023-10-31,88885081.81654446
2023-11-01,87666151.66190827
2023-11-02,85580735.70128925
2023-11-03,92920858.97627398
2023-11-06,95374587.01221605
2023-11-07,99766249.84004225
2023-11-08,96959708.86345036
2023-11-09,98155914.5787667
2023-11-10,97583816.99671812
2023-11-13,95434763.19704883
2023-11-14,95114166.09611128
2023-11-15,95897818.49327417
2023-11-16,94633718.05929124
2023-11-17,93644438.23918852
2023-11-20,94846133.34269862
2023-11-21,94728979.91420566
2023-11-22,94285105.94005297
2023-11-23,96077192.40165925
2023-11-24,96185289.63838784
2023-11-27,94772064.50503738
2023-11-28,94075615.3612
2023-11-29,92187029.08818737
2023-11-30,92146346.09394899
2023-12-01,91201373.44617492
2023-12-04,91647607.8767529
2023-12-05,88584667.65853938
2023-12-06,91403650.18471475
2023-12-07,92830047.40206392
2023-12-08,90560893.0792335
2023-12-11,90694032.71043287
2023-12-12,91440834.13121699
2023-12-13,89904304.57036464
2023-12-14,89062029.1901935
2023-12-15,90344625.35656069
2023-12-18,89798559.23056287
2023-12-19,89088439.18126076
2023-12-20,98971724.64803298
2023-12-21,93050399.79239272
2023-12-22,93423989.21000563
2023-12-25,95293977.33083136
2023-12-26,97105567.99946739
2023-12-27,95558619.18373725
2023-12-28,100478075.8955019
2023-12-29,100323864.78203543
2024-01-02,96207761.37550154
2024-01-03,94878582.69241974
2024-01-04,92483221.60788411
2024-01-05,90852055.11994661
2024-01-08,88472180.87527183
2024-01-09,89119628.89358346
2024-01-10,87636594.56232217
2024-01-11,87841436.25345746
2024-01-12,88676422.77872178
2024-01-15,89374728.9017541
2024-01-16,91537497.56120753
2024-01-17,90470006.78632063
2024-01-18,88605034.43979125
2024-01-19,87732202.4501256
2024-01-22,83658147.5417585
2024-01-23,83349273.04462335
2024-01-24,83622989.65484895
2024-01-25,86955847.37209497
2024-01-26,95047340.82764407
2024-01-29,84346947.59200235
2024-01-30,76967025.19960506
2024-01-31,66914751.09010409
2024-02-01,63463240.46938332
2024-02-02,59960798.31178807
2024-02-05,59968817.910065345
2024-02-06,59962709.71015343
2024-02-07,59965141.94661607
2024-02-08,59913345.94236944
2024-02-19,60335788.99614474
2024-02-20,60690540.43996966
2024-02-21,62396222.2735386
2024-02-22,63331387.27533012
2024-02-23,62397239.73110576
2024-02-26,62016797.60304489
2024-02-27,63717530.3336246
2024-02-28,60691507.27907056
2024-02-29,62692836.31866953
2024-03-01,62039502.02919966
2024-03-04,59715498.963467866
2024-03-05,59748490.9836839
2024-03-06,59659115.196874104
2024-03-07,58394238.60627498
2024-03-08,60973672.42174669
2024-03-11,61984082.44955132
2024-03-12,61387596.19849123
2024-03-13,62199324.64005323
2024-03-14,62718422.87849787
2024-03-15,64820498.77264496
2024-03-18,66811949.003429934
2024-03-19,65361313.49999692
2024-03-20,66522402.52022101
2024-03-21,65419360.37933877
2024-03-22,64748983.29363657
2024-03-25,62831684.697922155
2024-03-26,62302070.03810706
2024-03-27,60209602.32493022
2024-03-28,60761375.761192136
2024-03-29,60806171.6711423
2024-04-01,70410463.86418636
2024-04-02,70375334.73207605
2024-04-03,69910078.60362564
2024-04-08,66069915.661339395
2024-04-09,68610416.32018346
2024-04-10,67194445.30315676
2024-04-11,69562437.91501386
2024-04-12,71241896.21299827
2024-04-15,66400398.83360664
2024-04-16,60513008.237473965
2024-04-17,64786109.45603207
2024-04-18,67631201.41261296
2024-04-19,73980303.95385489
2024-04-22,73023588.00465319
2024-04-23,68226965.3284319
2024-04-24,67986097.81127921
2024-04-25,68664776.45606509
2024-04-26,69789554.27980344
2024-04-29,74011044.23959196
2024-04-30,74986548.58174339
2024-05-06,76308357.45204769
2024-05-07,77099764.1619855
2024-05-08,74169426.32029322
2024-05-09,78641587.42806362
2024-05-10,77951427.37837751
2024-05-13,78143893.4426925
2024-05-14,78059917.94701503
2024-05-15,74676933.1745015
2024-05-16,75943783.25702614
2024-05-17,84057894.28427058
2024-05-20,80028379.3074566
2024-05-21,81360485.13546345
2024-05-22,84238196.34923199
2024-05-23,80853120.31278835
2024-05-24,75274665.48033872
2024-05-27,74835891.79011068
2024-05-28,77005943.87826197
2024-05-29,63915314.5945591
2024-05-30,61645522.8847319
2024-05-31,58837093.55360558
2024-06-03,58039334.27810468
2024-06-04,58517141.72706253
2024-06-05,57143807.08974625
2024-06-06,54894277.47691654
2024-06-07,54797987.31548846
2024-06-11,54797987.31548846
2024-06-12,54759629.731907375
2024-06-13,52841654.95799412
2024-06-14,53059425.91630634
2024-06-17,51679185.582864165
2024-06-18,50869166.90741179
2024-06-19,49611828.16144497
2024-06-20,49225058.52313055
2024-06-21,49640707.631079435
2024-06-24,47984499.4438944
2024-06-25,45808600.129849456
2024-06-26,43577886.58965928
2024-06-27,43005156.07359043
2024-06-28,44055889.021205746
2024-07-01,43865001.63043562
2024-07-02,44000889.32955943
2024-07-03,44196292.53120996
2024-07-04,42031220.534536496
2024-07-05,42353923.1722557
2024-07-08,41760765.00825918
2024-07-09,41335055.68890493
2024-07-10,40776262.51993688
2024-07-11,43496944.07712806
2024-07-12,42749463.91658985
2024-07-15,40925018.33471623
2024-07-16,41708660.69825758
2024-07-17,40958261.237043954
2024-07-18,40574060.503836766
2024-07-19,40647122.37046699
2024-07-22,40946969.373087
2024-07-23,39518052.01505728
2024-07-24,39161051.54533924
2024-07-25,40140829.654588796
2024-07-26,42386806.36535654
2024-07-29,41752859.78001409
2024-07-30,41932422.649804875
2024-07-31,42885553.04128323
2024-08-01,43168542.84982305
2024-08-02,41241029.72815573
2024-08-05,38552829.63794567
2024-08-06,39311182.33846178
2024-08-07,38977175.253848
2024-08-08,39503188.23985413
2024-08-09,38628998.26870244
2024-08-12,38625986.67180455
2024-08-13,38450348.74992955
2024-08-14,37688204.9346092
2024-08-15,38509656.37304715
2024-08-16,38237878.93618587
2024-08-19,39229362.4837386
2024-08-20,38135567.20566553
2024-08-21,36612501.71831985
2024-08-22,35983483.93464255
2024-08-23,36344440.15698698
2024-08-26,37046453.64863226
2024-08-27,37275214.5670877
2024-08-28,36878078.22440379
2024-08-29,39230023.913434386
2024-08-30,39774576.13389096
2024-09-02,39519940.42759128
2024-09-03,40345519.77594435
2024-09-04,40958072.18735017
2024-09-05,40871291.80500419
2024-09-06,40268111.57040608
2024-09-09,40183472.78347759
2024-09-10,39856009.96102038
2024-09-11,38351531.69702142
2024-09-12,38153103.75723617
2024-09-13,37444091.469447814
2024-09-18,37790762.65852911
2024-09-19,39000449.32097882
2024-09-20,39344317.45659896
2024-09-23,37536081.12108565
2024-09-24,40635112.46316145
2024-09-25,41389740.00424147
2024-09-26,44311001.972494
2024-09-27,49250186.419651836
2024-09-30,59183333.905907094
2024-10-08,69134222.3656861
2024-10-09,61352403.00419541
2024-10-10,59377956.52336429
2024-10-11,56013624.65975333
2024-10-14,59524619.49694214
2024-10-15,58227830.84106986
2024-10-16,58963886.101235606
2024-10-17,59125890.11706345
2024-10-18,61273015.390995845
2024-10-21,65092140.48251582
2024-10-22,61578151.644807704
2024-10-23,61329909.81962377
2024-10-24,58571366.20521175
2024-10-25,59744725.746378615
2024-10-28,62642304.8165097
2024-10-29,59758168.232490815
2024-10-30,60738776.52203752
2024-10-31,61646192.50534271
2024-11-01,59988877.04092517
2024-11-04,60113956.4475435
2024-11-05,61989522.29519705
2024-11-06,62055345.05181521
2024-11-07,65307420.50870522
2024-11-08,64405103.706772715
2024-11-11,66142545.53514004
2024-11-12,65471917.60625324
2024-11-13,65036339.28399465
2024-11-14,61671703.071086235
2024-11-15,59526745.78684218
2024-11-18,59008526.77598579
2024-11-19,59300316.89838211
2024-11-20,59120938.14692378
2024-11-21,59091069.60065645
2024-11-22,56404514.31236761
2024-11-25,58271942.71891506
2024-11-26,58680741.70371778
2024-11-27,59042242.41092642
2024-11-28,58911384.97151313
2024-11-29,59018689.38918769
2024-12-02,62121768.6636441
2024-12-03,60730715.02357917
2024-12-04,58159909.17668788
2024-12-05,58807940.129429825
2024-12-06,60159852.567208186
2024-12-09,60712872.86037154
2024-12-10,61100278.953635566
2024-12-11,62559198.254162855
2024-12-12,63448466.439359225
2024-12-13,60277650.19979475
2024-12-16,61656403.83176331
2024-12-17,59091350.71589845
2024-12-18,59810582.332138866
2024-12-19,57693280.56016885
2024-12-20,57091240.99251771
2024-12-23,56931154.96115079
2024-12-24,56879832.34456777
2024-12-25,56080763.00175948
2024-12-26,59125645.13943207
2024-12-27,57318284.27440305
2024-12-30,57247000.7961034
2024-12-31,52437229.58583241
2025-01-02,50527118.27166006
2025-01-03,48681158.57189497
2025-01-06,47224791.43200145
2025-01-07,48994415.53222743
2025-01-08,49315614.73247698
2025-01-09,48913765.04008619
2025-01-10,47035773.23493098
2025-01-13,49827150.026516385
2025-01-14,52885634.18036877
2025-01-15,50551407.19085738
2025-01-16,51249874.72787697
2025-01-17,50417578.320658505
2025-01-20,50277255.76002112
2025-01-21,53288263.47560118
