date,total_value,cash
2022-02-14,86085.8166420684,29833.851570570558
2022-02-15,85598.4414040047,29643.12570237484
2022-02-16,85600.25261131715,29643.12570237484
2022-02-17,82863.82712914115,29643.12570237484
2022-02-18,84413.53018613068,29643.12570237484
2022-02-21,85712.16188735169,29643.12570237484
2022-02-22,80523.001777315,29139.211793907987
2022-02-23,79293.47603052395,29139.211793907987
2022-02-24,75807.01684929314,29139.211793907987
2022-02-25,76007.13317154175,29139.211793907987
2022-02-28,77228.7387133508,29139.211793907987
2022-03-01,78032.75619135007,29310.99019279831
2022-03-02,78241.91261133179,29130.099665701535
2022-03-03,61775.125824167626,29130.099665701535
2022-03-04,60438.74809324933,29130.099665701535
2022-03-07,58600.77439928323,29130.099665701535
2022-03-08,55965.37764512196,29245.49229813164
2022-03-09,53868.30581446163,28998.920160389705
2022-03-10,55069.41174767979,28726.227448914295
2022-03-11,55710.8693632721,28726.227448914295
2022-03-14,53996.50809577958,28726.227448914295
2022-03-15,50680.319587899176,29968.768921917326
2022-03-16,51587.78191351034,28669.014940334953
2022-03-17,52508.61886469417,28669.014940334953
2022-03-18,52772.18053967126,28669.014940334953
2022-03-21,52382.09270154911,28669.014940334953
2022-03-22,52342.53925644425,28669.014940334953
2022-03-23,52462.22324720851,28669.014940334953
2022-03-24,50683.12293945769,28669.014940334953
2022-03-25,50046.73750656294,28534.772424851082
2022-03-28,49658.287361150935,28534.772424851082
2022-03-29,48997.13931904847,28534.772424851082
2022-03-30,49196.69763790769,28534.772424851082
2022-03-31,49919.25289144043,28321.328325513336
2022-04-01,50276.554771048344,28514.461533460355
2022-04-06,51275.48786738016,28098.675316462562
2022-04-07,49486.61761171007,28098.675316462562
2022-04-08,48778.733866772825,28098.675316462562
2022-04-11,46982.865213055964,28098.675316462562
2022-04-12,47600.359428981574,28047.09099896659
2022-04-13,46306.08833500282,28047.09099896659
2022-04-14,45774.5044212275,27885.789333403674
2022-04-15,44632.97545232336,27666.54704349542
