date,stock,shares,price,value
2021-03-30,300872.SZ,49,16.06961289690317,787.4110319482553
2021-03-30,300171.SZ,47,61.36182320441991,2884.005690607736
2021-03-30,300674.SZ,2629,45.86955645161287,120591.06391129024
2021-03-30,688101.SH,37961,12.262919132149907,465512.6731755426
2021-03-30,600872.SH,2015,61.3021196767573,123523.77114866595
2021-03-30,600177.SH,11281,9.445013927576614,106549.20211699179
2021-03-30,002795.SZ,83,8.33154870357391,691.5185423966345
2021-03-30,000411.SZ,7567,14.369220540098194,108731.89182692303
2021-03-30,603093.SH,548,8.894234618235725,4874.040570793177
2021-03-30,600110.SH,1265,11.34061983471078,14345.884090909138
2021-03-30,002392.SZ,88,5.678496240601519,499.70766917293366
2021-03-30,600808.SH,702,3.3031715210355994,2318.826407766991
2021-03-30,002566.SZ,14624,7.293413173652688,106658.8742514969
2021-03-30,000605.SZ,2648,4.456000000000003,11799.488000000008
2021-03-30,002749.SZ,10198,10.10571112006445,103058.04200241726
2021-03-30,600569.SH,93,2.564882812499997,238.53410156249973
2021-03-30,600702.SH,672,215.31931414473712,144694.57910526334
2021-03-30,000506.SZ,181,1.5015187713310576,271.7748976109214
2021-03-30,600728.SH,8,4.305976239669422,34.44780991735538
2021-03-30,600712.SH,359,1.4565035677879716,522.8847808358818
2021-03-30,300182.SZ,171,2.9102459016393407,497.65204918032725
2021-03-30,000937.SZ,88,3.632642663043475,319.6725543478258
2021-03-30,300819.SZ,1593,80.69133640552995,128541.29889400922
2021-03-30,605336.SH,637,21.60770583190394,13764.108614922809
2021-03-30,000816.SZ,14257,6.482599337748336,92422.41875827803
2021-03-30,601899.SH,622,20.685757894736877,12866.541410526337
2021-03-30,600929.SH,92,4.297730711043879,395.3912254160369
2021-03-30,300720.SZ,3232,32.688877485567666,105650.4520333547
2021-03-30,002927.SZ,19844,5.114890083048363,101499.87880801171
2021-03-30,601015.SH,7733,13.685565015479884,105830.47426470595
2021-03-30,002170.SZ,73,4.579017857142851,334.26830357142813
2021-03-30,002494.SZ,94,2.0971287128712897,197.13009900990122
2021-03-30,002240.SZ,2217,54.45188205771653,120719.82252195755
2021-03-30,000680.SZ,24544,4.881513513513514,119811.86767567569
2021-03-30,601198.SH,10929,9.481347477064208,103621.64657683473
2021-03-30,300735.SZ,48,5.226690324990664,250.8811355995519
2021-03-30,000031.SZ,84,2.0994337016574627,176.35243093922688
2021-03-30,002707.SZ,1579,6.3368601895734695,10005.902239336509
2021-03-30,603369.SH,1551,75.05646739130422,116412.58092391286
2021-03-30,000545.SZ,98,2.7234615384615384,266.89923076923077
2021-03-30,600261.SH,52,3.224721052631574,167.68549473684183
2021-03-30,000802.SZ,80,3.018040201005019,241.4432160804015
2021-03-30,300756.SZ,6273,13.858995042492896,86937.47590155793
2021-03-30,601588.SH,174,1.5816816816816832,275.2126126126129
2021-03-30,300218.SZ,102,16.463902743142164,1679.3180798005008
2021-03-30,300221.SZ,135,8.671012006861051,1170.586620926242
2021-03-30,002489.SZ,3,3.003489461358309,9.010468384074926
2021-03-30,002878.SZ,9442,11.705321888412035,110521.64927038644
2021-03-30,601226.SH,15,3.941533957845431,59.12300936768147
2021-03-30,002233.SZ,12,11.951702501954642,143.4204300234557
2021-03-30,300192.SZ,7258,13.489823673184372,97909.14021997216
2021-03-30,002580.SZ,182,6.143703703703699,1118.1540740740732
2021-03-30,300707.SZ,16,9.659081027667966,154.54529644268746
